;;;;;;;;;Formações;;;;Projetos;;;;Avaliações;;;;;CENSO;;;;;;;
;;;;;;;;;2021;;2022;;2021;;2022;;2021 - entrada;2021 - formativa;2021 - saída;2022 - entrada; 2022 - saída;;;;;;;;
Estado;Município;Cod Escola;Escola;Rede;Escola aderiu?;Data de adesão da escola;Rede aderiu?;Data de adesão da rede;Aprovados - formação professores;Aprovados - formação gestores;Aprovados - formação professores;Aprovados - formação gestores;Projetos selecionados;Projetos concluídos;Projetos selecionados;Projetos concluídos;Alunos avaliados LF - Março 21;Alunos avaliados LF - Agosto 21;Alunos avaliados LF - Novembro 21;Alunos avaliados LF - Abril 22;Alunos avaliados LF - Out 22;Qtde matrículas;Qtde turmas;Qtde docentes;Qtde diretores;Localização;Indígena ou Quilombola;;
PERNAMBUCO;RECIFE;26126150;ESCOLA ERUNDINA NEGREIROS DE ARAUJO;ESTADUAL;Sim;22/02/2022;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;41;0;178;5;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126192;ESCOLA GABRIELA MISTRAL;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;0;0;0;4;0;0;0;0;44;35;66;0;482;14;18;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126206;ESCOLA GILBERTO FREYRE;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;19;0;0;0;200;7;14;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126214;ESCOLA GOV CARLOS DE LIMA CAVALCANTI;ESTADUAL;Sim;27/07/2021;Sim;06/07/2021;0;0;0;0;2;0;2;0;0;34;11;51;0;308;11;15;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126230;ESCOLA IRMA MAGNA;ESTADUAL;Sim;26/07/2021;Sim;06/07/2021;1;0;0;0;4;0;0;0;0;55;49;59;0;596;18;21;2;Urbana;0;;
PERNAMBUCO;RECIFE;26126311;ESCOLA MATIAS DE ALBUQUERQUE;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;1;0;0;0;3;0;0;0;0;95;7;73;0;329;10;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126370;ESCOLA MUNICIPAL ALTO DA GUABIRABA;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;32;0;0;0;168;8;10;0;Urbana;0;;
PERNAMBUCO;RECIFE;26126419;ESCOLA MUNICIPAL PRESBITERO JOSE BEZERRA;MUNICIPAL;Sim;28/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;15;0;0;0;297;15;14;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126427;ESCOLA MUNICIPAL PASTOR PAULO LEIVAS MACALAO;MUNICIPAL;Sim;31/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;18;14;0;0;315;14;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126443;ESCOLA NOSSA SENHORA DE FATIMA - RN;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;4;1;0;0;0;44;50;51;0;127;5;12;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126524;ESCOLA MUNICIPAL PROFESSOR NILO PEREIRA;MUNICIPAL;Sim;30/07/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;325;12;12;2;Urbana;0;;
PERNAMBUCO;RECIFE;26126559;ESCOLA COMANDANTE LUIZ GOMES;ESTADUAL;Sim;23/07/2021;Sim;06/07/2021;0;0;0;0;4;0;0;0;0;238;66;70;0;768;21;23;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126575;ESCOLA PADRE JOAO BARBOSA;ESTADUAL;Sim;26/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;65;0;64;0;263;8;11;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126605;ESCOLA TOME GIBSON;ESTADUAL;Sim;29/07/2021;Sim;06/07/2021;0;1;0;0;3;0;0;0;0;86;12;73;0;385;9;13;1;Urbana;0;;
PERNAMBUCO;RECIFE;26126770;ESCOLA MUNICIPAL JOSEFINA MARINHO;MUNICIPAL;Sim;16/03/2022;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;98;5;4;2;Urbana;0;;
PERNAMBUCO;RECIFE;26126788;ESCOLA MUNICIPAL PROFESSOR MAURO MOTA;MUNICIPAL;Sim;02/08/2021;Sim;20/07/2021;0;1;0;0;0;0;0;0;0;46;37;0;0;330;14;10;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127024;ESCOLA MUNICIPAL CELIA ARRAES;MUNICIPAL;Sim;05/08/2021;Sim;20/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;296;12;12;2;Urbana;0;;
PERNAMBUCO;RECIFE;26127423;ESCOLA PINTOR LAURO VILLARES;ESTADUAL;Sim;05/08/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;620;16;19;1;Urbana;0;;
PERNAMBUCO;RECIFE;26127474;ESCOLA PADRE DEHON;ESTADUAL;Sim;30/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;66;0;0;0;175;6;11;0;Urbana;0;;
PERNAMBUCO;RECIFE;26127512;ESCOLA SENADOR NOVAES FILHO;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;350;12;19;2;Urbana;0;;
PERNAMBUCO;RECIFE;26127539;ESCOLA PROFESSORA FONTAINHA DE ABREU;ESTADUAL;Sim;28/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;502;15;16;0;Urbana;0;;
PERNAMBUCO;RECIFE;26127571;ESCOLA BARROS CARVALHO;ESTADUAL;Sim;19/07/2021;Sim;06/07/2021;0;0;0;0;0;0;0;0;0;0;0;0;0;399;12;15;1;Urbana;0;;
